Customer ID,Age,Monthly Purchase Amount 1,Monthly Purchase Amount 2,Monthly Purchase Amount 3,Monthly Purchase Amount 4,Monthly Purchase Amount 5,Monthly Purchase Amount 6,Monthly Purchase Frequency 1,Monthly Purchase Frequency 2,Monthly Purchase Frequency 3,Monthly Purchase Frequency 4,Monthly Purchase Frequency 5,Monthly Purchase Frequency 6,Credit Score,Credit Limit,Payment Status,Rating,Repeat Usage
1,20,6885375,28045109,26475356,7785130,36340044,42065502,18,6,4,11,9,23,324,5000000,Yes,5,Yes
2,41,21344295,33780934,33999453,48418419,33869753,56526703,0,27,15,12,3,20,407,5000000,No,3,Yes
3,46,22791399,68252463,11097296,39619780,49618701,13123991,15,1,30,30,8,7,310,5000000,Yes,5,Yes
4,29,66372914,41509374,30719053,840097,29370577,45322486,8,24,5,2,4,15,411,5000000,Yes,5,Yes
5,42,52690396,40107621,44771741,3053623,20017954,17249904,5,23,20,14,1,27,330,5000000,No,4,Yes
6,55,44871942,19813048,54050665,47144997,49394839,48858979,2,8,7,7,2,0,410,5000000,Yes,3,No
7,27,8750421,64587575,13665881,13096459,55550112,67572600,22,29,24,14,3,28,306,5000000,Yes,3,No
8,18,27194799,61485070,21575795,59976099,13002363,18711603,15,3,15,8,21,14,435,5000000,Yes,5,Yes
9,42,8310516,54883731,39616744,1084555,10925785,27197134,28,26,9,20,10,1,351,5000000,No,5,Yes
10,45,17763848,31683743,26549141,19066233,12783832,55988137,12,22,29,2,18,15,316,5000000,Yes,3,Yes
11,40,33834625,7749377,32272301,15597065,9437742,19006160,30,11,13,10,20,11,489,5000000,No,5,Yes
12,58,3513917,29949997,2187880,20944530,60374879,50612215,10,10,8,10,13,26,419,5000000,Yes,3,Yes
13,61,22785451,38048709,52855468,38892421,63318287,1748798,23,20,0,20,14,27,494,5000000,Yes,5,Yes
14,58,45504783,54504950,61384101,64147011,17059409,3515270,16,14,5,26,23,16,333,5000000,No,4,Yes
15,59,36079457,61638756,69283004,51462654,7939936,49318039,27,20,0,15,2,0,409,5000000,Yes,4,Yes
16,26,33380423,52801224,21271889,44808153,49197251,9153918,3,27,23,23,9,6,436,5000000,Yes,5,Yes
17,34,22870334,31864083,52986150,50551920,58221303,66151887,8,21,3,19,4,15,515,5000000,Yes,5,Yes
18,52,15421780,24121283,31956554,56458818,44125113,9882052,3,25,15,12,2,15,509,5000000,Yes,3,Yes
19,33,29165560,33803780,22823795,56904657,29663269,21396792,21,28,23,24,21,30,384,5000000,No,5,Yes
20,37,68341912,46614984,5363650,37625670,44777471,6294008,12,4,0,3,12,17,373,5000000,Yes,5,Yes
21,55,7465729,57732568,21605382,43180094,51784051,27183037,4,10,16,2,30,30,421,5000000,No,2,No
